date,day_of_week,meal_type,is_holiday_or_event,expected_attendance,actual_attendance,planned_prep_kg,actual_consumed_kg,discarded_kg,waste_percentage,is_high_waste,optimal_prep_kg
2025-02-15,Saturday,dinner,0,265,257,123.99,89.91,34.08,27.49,1,92.61
2025-02-16,Sunday,breakfast,0,213,213,64.96,43.41,21.55,33.17,1,44.71
2025-02-16,Sunday,lunch,0,344,324,153.9,134.8,19.1,12.41,1,138.84
2025-02-16,Sunday,dinner,0,266,266,123.67,100.51,23.16,18.73,1,103.53
2025-02-17,Monday,breakfast,0,460,485,145.24,139.43,5.81,4.0,0,143.61
2025-02-17,Monday,lunch,0,544,522,241.08,214.12,26.96,11.18,0,220.54
2025-02-17,Monday,dinner,0,506,518,243.83,234.08,9.75,4.0,0,241.1
2025-02-18,Tuesday,breakfast,0,449,439,137.81,115.93,21.88,15.88,1,119.41
2025-02-18,Tuesday,lunch,0,583,598,261.61,251.15,10.46,4.0,0,258.68
2025-02-18,Tuesday,dinner,0,518,509,241.8,204.87,36.93,15.27,1,211.02
2025-02-19,Wednesday,breakfast,0,466,450,144.06,75.82,68.24,47.37,1,78.09
2025-02-19,Wednesday,lunch,0,587,636,257.95,245.27,12.68,4.92,0,252.63
2025-02-19,Wednesday,dinner,0,515,537,244.41,229.13,15.28,6.25,0,236.0
2025-02-20,Thursday,breakfast,0,407,430,124.35,119.38,4.97,4.0,0,122.96
2025-02-20,Thursday,lunch,0,607,636,277.54,257.53,20.01,7.21,0,265.26
2025-02-20,Thursday,dinner,0,486,465,224.51,215.53,8.98,4.0,0,222.0
2025-02-21,Friday,breakfast,0,399,392,128.0,122.88,5.12,4.0,0,126.57
2025-02-21,Friday,lunch,0,516,490,236.08,183.43,52.65,22.3,1,188.93
2025-02-21,Friday,dinner,0,432,452,205.26,197.05,8.21,4.0,0,202.96
2025-02-22,Saturday,breakfast,0,246,269,75.78,61.08,14.7,19.4,1,62.91
2025-02-22,Saturday,lunch,0,307,309,136.56,131.1,5.46,4.0,0,135.03
2025-02-22,Saturday,dinner,0,282,281,129.37,121.57,7.8,6.03,0,125.22
2025-02-23,Sunday,breakfast,1,397,392,127.81,110.68,17.13,13.4,1,114.0
2025-02-23,Sunday,lunch,1,461,477,209.43,197.01,12.42,5.93,0,202.92
2025-02-23,Sunday,dinner,1,399,403,189.12,137.11,52.01,27.5,1,141.22
2025-02-24,Monday,breakfast,0,460,448,148.73,123.42,25.31,17.02,1,127.12
2025-02-24,Monday,lunch,0,586,660,260.63,250.2,10.43,4.0,0,257.71
2025-02-24,Monday,dinner,0,482,471,231.64,222.37,9.27,4.0,0,229.04
2025-02-25,Tuesday,breakfast,0,379,374,117.56,112.86,4.7,4.0,0,116.25
2025-02-25,Tuesday,lunch,0,561,607,246.38,201.81,44.57,18.09,1,207.86
2025-02-25,Tuesday,dinner,0,479,478,224.02,156.62,67.4,30.09,1,161.32
2025-02-26,Wednesday,breakfast,0,419,433,132.15,99.22,32.93,24.92,1,102.2
2025-02-26,Wednesday,lunch,0,576,552,267.21,215.35,51.86,19.41,1,221.81
2025-02-26,Wednesday,dinner,0,532,533,242.51,194.66,47.85,19.73,1,200.5
2025-02-27,Thursday,breakfast,0,435,432,133.4,124.31,9.09,6.81,0,128.04
2025-02-27,Thursday,lunch,0,562,546,252.94,242.82,10.12,4.0,0,250.1
2025-02-27,Thursday,dinner,0,425,380,200.77,126.6,74.17,36.94,1,130.4
2025-02-28,Friday,breakfast,0,371,364,119.35,99.19,20.16,16.89,1,102.17
2025-02-28,Friday,lunch,0,515,536,229.22,171.74,57.48,25.08,1,176.89
2025-02-28,Friday,dinner,0,447,475,203.17,176.08,27.09,13.33,1,181.36
2025-03-01,Saturday,breakfast,0,216,217,66.18,59.35,6.83,10.32,0,61.13
2025-03-01,Saturday,lunch,0,283,293,123.16,118.23,4.93,4.0,0,121.78
2025-03-01,Saturday,dinner,0,242,244,113.0,106.8,6.2,5.49,0,110.0
2025-03-02,Sunday,breakfast,0,208,214,64.27,42.05,22.22,34.57,1,43.31
2025-03-02,Sunday,lunch,0,341,319,151.46,111.98,39.48,26.07,1,115.34
2025-03-02,Sunday,dinner,0,229,235,108.68,104.33,4.35,4.0,0,107.46
2025-03-03,Monday,breakfast,0,373,340,120.72,85.94,34.78,28.81,1,88.52
2025-03-03,Monday,lunch,0,545,555,250.59,240.57,10.02,4.0,0,247.79
2025-03-03,Monday,dinner,0,471,463,214.0,205.44,8.56,4.0,0,211.6
2025-03-04,Tuesday,breakfast,0,421,385,133.28,95.81,37.47,28.11,1,98.68
2025-03-04,Tuesday,lunch,0,545,509,240.19,206.68,33.51,13.95,1,212.88
2025-03-04,Tuesday,dinner,0,474,450,219.37,210.6,8.77,4.0,0,216.92
2025-03-05,Wednesday,breakfast,0,429,418,129.84,124.65,5.19,4.0,0,128.39
2025-03-05,Wednesday,lunch,0,558,585,251.78,198.77,53.01,21.05,1,204.73
2025-03-05,Wednesday,dinner,0,480,476,223.91,214.95,8.96,4.0,0,221.4
2025-03-06,Thursday,breakfast,0,401,401,122.76,105.3,17.46,14.22,1,108.46
2025-03-06,Thursday,lunch,0,555,515,246.67,223.95,22.72,9.21,0,230.67
2025-03-06,Thursday,dinner,0,450,419,214.99,192.81,22.18,10.32,0,198.59
2025-03-07,Friday,breakfast,0,336,370,108.66,97.97,10.69,9.84,0,100.91
2025-03-07,Friday,lunch,0,478,494,206.97,198.69,8.28,4.0,0,204.65
2025-03-07,Friday,dinner,0,391,390,185.2,145.82,39.38,21.26,1,150.19
2025-03-08,Saturday,breakfast,0,250,241,76.2,69.65,6.55,8.6,0,71.74
2025-03-08,Saturday,lunch,0,296,325,131.99,126.71,5.28,4.0,0,130.51
2025-03-08,Saturday,dinner,0,271,263,130.2,90.43,39.77,30.55,1,93.14
2025-03-09,Sunday,breakfast,0,245,223,74.59,71.61,2.98,4.0,0,73.76
2025-03-09,Sunday,lunch,0,301,310,131.82,126.55,5.27,4.0,0,130.35
2025-03-09,Sunday,dinner,0,259,269,123.22,118.29,4.93,4.0,0,121.84
2025-03-10,Monday,breakfast,0,429,438,132.13,89.21,42.92,32.48,1,91.89
2025-03-10,Monday,lunch,0,549,571,237.76,228.25,9.51,4.0,0,235.1
2025-03-10,Monday,dinner,0,446,469,216.16,207.51,8.65,4.0,0,213.74
2025-03-11,Tuesday,breakfast,0,411,401,131.92,126.64,5.28,4.0,0,130.44
2025-03-11,Tuesday,lunch,0,552,539,242.53,181.89,60.64,25.0,1,187.35
2025-03-11,Tuesday,dinner,0,493,486,228.85,208.71,20.14,8.8,0,214.97
2025-03-12,Wednesday,breakfast,0,442,446,136.82,131.35,5.47,4.0,0,135.29
2025-03-12,Wednesday,lunch,0,556,518,240.63,225.4,15.23,6.33,0,232.16
2025-03-12,Wednesday,dinner,0,469,493,227.54,218.44,9.1,4.0,0,224.99
2025-03-13,Thursday,breakfast,1,400,389,126.58,60.59,65.99,52.13,1,62.41
2025-03-13,Thursday,lunch,1,543,582,241.9,202.33,39.57,16.36,1,208.4
2025-03-13,Thursday,dinner,1,485,477,224.68,173.47,51.21,22.79,1,178.67
2025-03-14,Friday,breakfast,0,353,339,107.08,62.14,44.94,41.97,1,64.0
2025-03-14,Friday,lunch,0,473,447,218.71,197.11,21.6,9.88,0,203.02
2025-03-14,Friday,dinner,0,442,437,214.52,205.94,8.58,4.0,0,212.12
2025-03-15,Saturday,breakfast,0,215,227,67.49,64.79,2.7,4.0,0,66.73
2025-03-15,Saturday,lunch,0,291,283,127.77,122.63,5.14,4.02,0,126.31
2025-03-15,Saturday,dinner,0,246,239,119.6,97.57,22.03,18.42,1,100.5
2025-03-16,Sunday,breakfast,1,362,351,115.11,104.31,10.8,9.38,0,107.44
2025-03-16,Sunday,lunch,1,437,421,196.29,150.63,45.66,23.26,1,155.15
2025-03-16,Sunday,dinner,1,409,445,186.78,175.61,11.17,5.98,0,180.88
2025-03-17,Monday,breakfast,0,429,440,135.02,129.62,5.4,4.0,0,133.51
2025-03-17,Monday,lunch,0,553,530,245.49,235.67,9.82,4.0,0,242.74
2025-03-17,Monday,dinner,0,454,434,209.29,182.03,27.26,13.02,1,187.49
2025-03-18,Tuesday,breakfast,0,408,412,131.16,43.66,87.5,66.71,1,44.97
2025-03-18,Tuesday,lunch,0,541,573,239.73,230.14,9.59,4.0,0,237.04
2025-03-18,Tuesday,dinner,0,488,533,225.74,216.71,9.03,4.0,0,223.21
2025-03-19,Wednesday,breakfast,0,426,445,137.1,131.62,5.48,4.0,0,135.57
2025-03-19,Wednesday,lunch,0,577,591,262.14,251.65,10.49,4.0,0,259.2
2025-03-19,Wednesday,dinner,0,507,490,244.98,222.28,22.7,9.27,0,228.95
2025-03-20,Thursday,breakfast,0,418,421,129.54,103.37,26.17,20.2,1,106.47
2025-03-20,Thursday,lunch,0,572,583,256.39,246.13,10.26,4.0,0,253.51
2025-03-20,Thursday,dinner,0,482,483,228.87,219.72,9.15,4.0,0,226.31
2025-03-21,Friday,breakfast,0,355,381,108.2,103.87,4.33,4.0,0,106.99
2025-03-21,Friday,lunch,0,514,554,237.89,228.37,9.52,4.0,0,235.22
2025-03-21,Friday,dinner,0,404,407,184.18,176.81,7.37,4.0,0,182.11
2025-03-22,Saturday,breakfast,1,362,343,110.01,65.0,45.01,40.91,1,66.95
2025-03-22,Saturday,lunch,1,473,461,217.53,187.94,29.59,13.6,1,193.58
2025-03-22,Saturday,dinner,1,375,382,179.65,156.94,22.71,12.64,1,161.65
2025-03-23,Sunday,breakfast,0,194,201,60.6,58.18,2.42,3.99,0,59.93
2025-03-23,Sunday,lunch,0,285,253,124.61,111.05,13.56,10.88,0,114.38
2025-03-23,Sunday,dinner,0,286,302,132.36,127.07,5.29,4.0,0,130.88
2025-03-24,Monday,breakfast,0,443,440,138.13,96.2,41.93,30.36,1,99.09
2025-03-24,Monday,lunch,0,607,634,266.69,245.74,20.95,7.86,0,253.11
2025-03-24,Monday,dinner,0,462,495,222.98,214.06,8.92,4.0,0,220.48
2025-03-25,Tuesday,breakfast,0,432,437,138.15,117.33,20.82,15.07,1,120.85
2025-03-25,Tuesday,lunch,0,588,601,268.34,206.35,61.99,23.1,1,212.54
2025-03-25,Tuesday,dinner,0,496,526,233.01,223.69,9.32,4.0,0,230.4
2025-03-26,Wednesday,breakfast,0,421,458,129.2,111.27,17.93,13.88,1,114.61
2025-03-26,Wednesday,lunch,0,579,532,264.91,230.83,34.08,12.86,1,237.75
2025-03-26,Wednesday,dinner,0,484,438,219.73,178.65,41.08,18.7,1,184.01
2025-03-27,Thursday,breakfast,0,423,475,130.68,121.22,9.46,7.24,0,124.86
2025-03-27,Thursday,lunch,0,598,610,273.26,243.12,30.14,11.03,0,250.41
2025-03-27,Thursday,dinner,0,484,477,235.59,186.87,48.72,20.68,1,192.48
2025-03-28,Friday,breakfast,0,396,373,125.23,114.23,11.0,8.78,0,117.66
2025-03-28,Friday,lunch,0,563,538,249.53,216.42,33.11,13.27,1,222.91
2025-03-28,Friday,dinner,0,429,422,202.78,194.67,8.11,4.0,0,200.51
2025-03-29,Saturday,breakfast,0,255,248,77.71,63.92,13.79,17.75,1,65.84
2025-03-29,Saturday,lunch,0,352,368,152.42,146.32,6.1,4.0,0,150.71
2025-03-29,Saturday,dinner,0,282,287,135.51,130.09,5.42,4.0,0,133.99
2025-03-30,Sunday,breakfast,0,266,258,80.92,73.72,7.2,8.9,0,75.93
2025-03-30,Sunday,lunch,0,345,341,156.15,149.9,6.25,4.0,0,154.4
2025-03-30,Sunday,dinner,0,312,315,142.38,109.55,32.83,23.06,1,112.84
2025-03-31,Monday,breakfast,0,437,450,137.03,131.55,5.48,4.0,0,135.5
2025-03-31,Monday,lunch,0,631,644,277.2,214.02,63.18,22.79,1,220.44
2025-03-31,Monday,dinner,0,518,504,235.5,219.15,16.35,6.94,0,225.72
2025-04-01,Tuesday,breakfast,0,444,406,142.9,132.62,10.28,7.19,0,136.6
2025-04-01,Tuesday,lunch,0,617,559,273.87,193.36,80.51,29.4,1,199.16
2025-04-01,Tuesday,dinner,0,514,540,240.73,222.82,17.91,7.44,0,229.5
2025-04-02,Wednesday,breakfast,0,487,447,153.73,112.36,41.37,26.91,1,115.73
2025-04-02,Wednesday,lunch,0,632,675,287.85,276.34,11.51,4.0,0,284.63
2025-04-02,Wednesday,dinner,0,498,506,234.13,202.2,31.93,13.64,1,208.27
2025-04-03,Thursday,breakfast,0,465,456,145.25,76.74,68.51,47.17,1,79.04
2025-04-03,Thursday,lunch,0,610,574,271.15,240.59,30.56,11.27,0,247.81
2025-04-03,Thursday,dinner,0,489,517,234.52,160.83,73.69,31.42,1,165.65
2025-04-04,Friday,breakfast,0,406,363,130.31,106.25,24.06,18.46,1,109.44
2025-04-04,Friday,lunch,0,517,505,233.55,176.6,56.95,24.38,1,181.9
2025-04-04,Friday,dinner,0,477,497,223.97,215.01,8.96,4.0,0,221.46
2025-04-05,Saturday,breakfast,0,260,265,82.03,70.18,11.85,14.45,1,72.29
2025-04-05,Saturday,lunch,0,344,338,149.24,124.03,25.21,16.89,1,127.75
2025-04-05,Saturday,dinner,0,301,301,136.93,123.66,13.27,9.69,0,127.37
2025-04-06,Sunday,breakfast,0,233,230,73.11,69.56,3.55,4.86,0,71.65
2025-04-06,Sunday,lunch,0,357,363,159.42,99.44,59.98,37.62,1,102.42
2025-04-06,Sunday,dinner,0,347,331,157.75,148.37,9.38,5.95,0,152.82
2025-04-07,Monday,breakfast,0,487,461,149.47,135.45,14.02,9.38,0,139.51
2025-04-07,Monday,lunch,0,606,638,265.23,248.92,16.31,6.15,0,256.39
2025-04-07,Monday,dinner,0,544,557,264.02,232.74,31.28,11.85,0,239.72
2025-04-08,Tuesday,breakfast,0,507,531,159.8,153.41,6.39,4.0,0,158.01
2025-04-08,Tuesday,lunch,0,645,683,283.09,228.55,54.54,19.27,1,235.41
2025-04-08,Tuesday,dinner,0,562,540,267.35,238.01,29.34,10.97,0,245.15
2025-04-09,Wednesday,breakfast,0,468,475,150.65,141.09,9.56,6.35,0,145.32
2025-04-09,Wednesday,lunch,0,654,672,290.99,279.35,11.64,4.0,0,287.73
2025-04-09,Wednesday,dinner,0,555,520,266.81,244.66,22.15,8.3,0,252.0
2025-04-10,Thursday,breakfast,1,484,515,147.66,137.47,10.19,6.9,0,141.59
2025-04-10,Thursday,lunch,1,625,625,276.49,202.07,74.42,26.92,1,208.13
2025-04-10,Thursday,dinner,1,501,478,234.81,225.42,9.39,4.0,0,232.18
2025-04-11,Friday,breakfast,0,413,385,126.99,111.07,15.92,12.54,1,114.4
2025-04-11,Friday,lunch,0,554,584,247.54,237.64,9.9,4.0,0,244.77
2025-04-11,Friday,dinner,0,503,494,236.93,191.77,45.16,19.06,1,197.52
2025-04-12,Saturday,breakfast,1,380,358,118.31,72.8,45.51,38.47,1,74.98
2025-04-12,Saturday,lunch,1,527,591,237.92,228.4,9.52,4.0,0,235.25
2025-04-12,Saturday,dinner,1,442,436,214.26,195.09,19.17,8.95,0,200.94
2025-04-13,Sunday,breakfast,0,247,243,77.38,57.46,19.92,25.74,1,59.18
2025-04-13,Sunday,lunch,0,330,346,148.25,125.58,22.67,15.29,1,129.35
2025-04-13,Sunday,dinner,0,316,291,150.94,109.93,41.01,27.17,1,113.23
2025-04-14,Monday,breakfast,0,447,443,141.99,120.51,21.48,15.13,1,124.13
2025-04-14,Monday,lunch,0,641,598,291.46,244.96,46.5,15.95,1,252.31
